,job,desc,company,salary,city
0,Кладовщик-комплектовщик, Полная занятость. Опыт работы от 1 года. ТОВ «КАМОЦЦІ» — підрозділ всесвітньо відомого італійського концерну Camozzi Group. Протягом 30-ти років…⁠ ,"Камоцци, ООО",11 000 – 13 000 грн,Бровары
1,Senior PHP-программист (HighLoad), Полная занятость. Опыт работы от 5 лет. Высшее образование. Немного о нас: Привет! Мы — техническая команда продуктовой украинской компании «Реактор». Ты можешь…⁠ ,Реактор,70 000 – 90 000 грн,Днепр
2,Спеціаліст з управління сировиною," Полная занятость. Опыт работы от 2 лет. Высшее образование. Основні обов’язки: Планування короткострокового та довгострокового забезпечення тютюновою сировиною,…⁠ ",Imperial Tobacco Ukraine,Unknown,Киев
3,Junior analyst," Полная занятость. Высшее образование. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
4,Медицинский представитель," Полная занятость. Опыт работы от 1 года. Высшее образование. Основой успеха нашей компании мы входим в ТОП 10 рейтинга является качество, эффективность и безопасность…⁠ ","Кусум, группа компаний",Unknown,Одесса
5,Junior internet marketer," Полная занятость. Высшее образование. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
6,"Customer Support Representative (German, English languages)", Полная занятость. Опыт работы от 1 года. Высшее образование. Ми відкриваємо вакансію в американський проект на позицію Customer Support Representative German language…⁠ ,Arce,20 000 грн,Киев
7,Customer Support Representative (German and English languages)," Полная занятость, неполная занятость, удаленная работа. Опыт работы от 1 года. Высшее образование. Ми відкриваємо вакансію в американський проект на позицію Customer Support Representative German language…⁠ ",Arce,20 000 грн,Киев
8,"ASP.NET MVC, SQL, C# developer", Полная занятость. Опыт работы от 2 лет. Высшее образование. Работа в офисе! Мы работаем в крупной компании (более 3 тысяч сотрудников) и имеем партнеров в различных…⁠ ,BEEPER,32 000 грн,Киев
9,"Оператор call-центра, менеджер по продажам, работе с клиентами", Полная занятость. Есть амбиции сделать карьеру? Тогда приходи к нам работать менеджером по продажам консалтинговых услуг…⁠ ,"Данильченко, ФЛП",12 000 – 30 000 грн,Днепр
10,"Кредитний консультант, клієнт-менеджер, касир"," Полная занятость, готовы взять студента. Ми перша і одна з найбільш організованих фінансових компаній України. Нам вдалося створити сильний бренд,…⁠ ",ШвидкоГрошi,7 000 грн,Николаев
11,Risk manager," Полная занятость. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
12,Мастер маникюра," Полная занятость, неполная занятость. Опыт работы от 1 года. «Bloom» Ногтевой салон в самом центре города! Мы находимся на одной из самых оживленных улиц города.…⁠ ",Фаворит,16 000 – 20 000 грн,Днепр
13,Координатор в мед. центр, Полная занятость. Опыт работы от 1 года. Высшее образование. CRB Украина — современная медицинская компания. Мы профессионально занимаемся лечением ортопедических…⁠ ,CRB Украина,13 000 – 14 000 грн,Киев
14,Кладовщик-комплектовщик, Полная занятость. Опыт работы от 1 года. ТОВ «КАМОЦЦІ» — підрозділ всесвітньо відомого італійського концерну Camozzi Group. Протягом 30-ти років…⁠ ,"Камоцци, ООО",11 000 – 13 000 грн,Бровары
15,Senior PHP-программист (HighLoad), Полная занятость. Опыт работы от 5 лет. Высшее образование. Немного о нас: Привет! Мы — техническая команда продуктовой украинской компании «Реактор». Ты можешь…⁠ ,Реактор,70 000 – 90 000 грн,Днепр
16,Спеціаліст з управління сировиною," Полная занятость. Опыт работы от 2 лет. Высшее образование. Основні обов’язки: Планування короткострокового та довгострокового забезпечення тютюновою сировиною,…⁠ ",Imperial Tobacco Ukraine,Unknown,Киев
17,Junior analyst," Полная занятость. Высшее образование. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
18,Медицинский представитель," Полная занятость. Опыт работы от 1 года. Высшее образование. Основой успеха нашей компании мы входим в ТОП 10 рейтинга является качество, эффективность и безопасность…⁠ ","Кусум, группа компаний",Unknown,Одесса
19,Junior internet marketer," Полная занятость. Высшее образование. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
20,"Customer Support Representative (German, English languages)", Полная занятость. Опыт работы от 1 года. Высшее образование. Ми відкриваємо вакансію в американський проект на позицію Customer Support Representative German language…⁠ ,Arce,20 000 грн,Киев
21,Customer Support Representative (German and English languages)," Полная занятость, неполная занятость, удаленная работа. Опыт работы от 1 года. Высшее образование. Ми відкриваємо вакансію в американський проект на позицію Customer Support Representative German language…⁠ ",Arce,20 000 грн,Киев
22,"ASP.NET MVC, SQL, C# developer", Полная занятость. Опыт работы от 2 лет. Высшее образование. Работа в офисе! Мы работаем в крупной компании (более 3 тысяч сотрудников) и имеем партнеров в различных…⁠ ,BEEPER,32 000 грн,Киев
23,"Оператор call-центра, менеджер по продажам, работе с клиентами", Полная занятость. Есть амбиции сделать карьеру? Тогда приходи к нам работать менеджером по продажам консалтинговых услуг…⁠ ,"Данильченко, ФЛП",12 000 – 30 000 грн,Днепр
24,"Кредитний консультант, клієнт-менеджер, касир"," Полная занятость, готовы взять студента. Ми перша і одна з найбільш організованих фінансових компаній України. Нам вдалося створити сильний бренд,…⁠ ",ШвидкоГрошi,7 000 грн,Николаев
25,Risk manager," Полная занятость. Softum — продуктовая IT компания, которая занимается не только разработкой, но и продвижением своего…⁠ ",Softum,Unknown,Киев
26,Мастер маникюра," Полная занятость, неполная занятость. Опыт работы от 1 года. «Bloom» Ногтевой салон в самом центре города! Мы находимся на одной из самых оживленных улиц города.…⁠ ",Фаворит,16 000 – 20 000 грн,Днепр
27,Координатор в мед. центр, Полная занятость. Опыт работы от 1 года. Высшее образование. CRB Украина — современная медицинская компания. Мы профессионально занимаемся лечением ортопедических…⁠ ,CRB Украина,13 000 – 14 000 грн,Киев
